0.640255,	0.755134,	0.566882,	0.884734,	0.678344,	0.675138,	0.750194,	0.384049,	0.691774,	0.828017,	0.283876,	0.738666,	-0.0635527,	0.161382,	-0.326639,	-0.208586,	-0.527899,	-0.439665,	-0.584718,	-0.555214,	-0.741255,	-0.866197,	-0.489616,	-0.265218,	-0.298014,	-1.07996,	-0.874217,	-1.02806,	-0.918442,	-1.20609,	-1.42164,	-1.06281,	-1.32444,	-1.46137,	-0.51212,	-1.00586,	-0.4352,	-0.585686,	-1.28362,	-0.545894,	-0.447693,	-0.429695,	-0.437951,	-0.68269,	-0.0349667,	-0.482767,	-0.241288,	0.37854,	0.443876,	0.0889459,	
-0.078798,	0.221263,	0.520829,	-0.0783449,	0.731145,	0.839813,	0.437272,	0.591053,	0.804836,	0.997714,	1.09569,	1.15891,	0.828957,	0.898544,	1.44531,	1.07179,	1.3484,	0.764916,	1.09091,	1.02728,	1.36334,	0.43773,	0.795776,	0.75237,	0.249148,	0.985265,	0.880804,	0.346261,	0.59578,	-0.133828,	0.238996,	-0.219913,	-0.134793,	0.164443,	-0.580666,	-0.567566,	-0.47896,	-0.71066,	-0.330724,	-0.216173,	-1.11203,	-1.09392,	-0.679974,	-1.04934,	-0.484464,	-0.509649,	-0.852231,	-0.639854,	-1.0921,	-0.846154,	
-0.467176,	-0.857747,	-0.43928,	-0.599454,	-0.774493,	-0.550656,	-0.226314,	-0.833344,	-0.549528,	0.138912,	-0.35575,	-0.00150488,	0.340329,	0.534315,	0.29166,	-0.154888,	-0.131395,	0.543074,	0.580374,	1.05831,	0.919613,	0.906453,	0.830248,	0.621763,	1.37019,	0.985644,	0.503512,	1.18763,	1.01921,	0.556709,	1.37593,	0.794466,	0.662697,	0.506355,	0.653822,	0.513403,	0.871197,	0.212402,	0.342259,	0.263569,	0.771923,	0.242381,	0.457179,	0.205766,	0.285915,	-0.483266,	0.282492,	0.0556086,	-0.83633,	-0.510897,	
-0.736801,	-0.511984,	-0.985209,	-0.701792,	-0.73688,	-0.790123,	-0.982648,	-1.42742,	-0.971181,	-1.08957,	-1.3916,	-1.03213,	-1.02356,	-0.896013,	-0.604992,	-0.663694,	-0.437817,	-1.19528,	-0.957733,	-0.640951,	-0.0592362,	-0.139728,	-0.385609,	-0.408393,	-0.584647,	0.196678,	0.0625236,	-0.144946,	0.180172,	0.0169912,	0.691838,	0.395938,	1.05158,	0.203013,	1.08412,	0.943342,	0.90902,	1.06561,	1.17741,	0.571457,	1.37096,	0.514249,	0.790696,	0.662858,	1.38597,	0.494993,	0.965786,	0.970885,	0.925713,	1.07204,	
0.189272,	0.86975,	0.495869,	0.570683,	-0.00563672,	0.228047,	0.28825,	0.44227,	-0.169375,	-0.627134,	-0.751683,	-0.272975,	-0.195629,	-0.385085,	-0.809679,	-0.280336,	-0.771863,	-0.395227,	-1.32395,	-1.23005,	-0.692223,	-0.573571,	-0.715846,	-1.20353,	-1.33789,	-0.622621,	-0.656771,	-1.13248,	-1.12816,	-0.979056,	-0.406631,	-0.342768,	-0.516381,	-0.431482,	-0.628513,	-0.122475,	0.0707861,	-0.185494,	-0.0812083,	0.0381714,	-0.0492435,	0.444585,	0.767677,	0.863704,	0.788993,	0.383512,	0.887618,	0.397816,	0.449838,	0.569336,	
0.567483,	1.0409,	0.55378,	1.31751,	1.2229,	1.42068,	0.972351,	1.10969,	1.31049,	0.915255,	0.606536,	1.23965,	0.231857,	0.446462,	1.01182,	0.317045,	0.169851,	-0.113301,	0.583982,	-0.295557,	-0.198857,	0.266874,	-0.229283,	-0.209682,	-0.334628,	-0.308125,	-1.0606,	-0.639717,	-1.20652,	-0.475063,	-1.01782,	-0.558119,	-1.19675,	-0.88989,	-0.552565,	-1.45142,	-1.44421,	-1.46658,	-0.784864,	-0.837204,	-1.28194,	-0.550912,	-0.672029,	-1.1545,	-1.08302,	-0.937362,	-0.199821,	-0.806773,	-0.567773,	-0.465411,	
-0.505565,	0.34774,	0.287468,	0.421999,	0.435896,	0.395892,	0.296473,	0.717628,	0.25363,	0.357739,	0.296451,	1.29998,	1.35672,	0.552002,	0.928075,	1.14028,	0.786874,	1.25436,	1.05109,	0.903997,	0.716872,	1.1674,	1.26689,	1.04314,	0.659564,	1.12157,	0.362368,	0.557729,	0.891705,	0.112716,	-0.000375261,	0.579291,	-0.379236,	-0.248376,	-0.0556737,	-0.541967,	-0.204942,	-0.134608,	-0.519105,	-0.452617,	-0.384069,	-1.01645,	-0.711292,	-1.25386,	-0.896095,	-0.610446,	-0.554448,	-0.994217,	-1.22212,	-0.844517,	
-0.567078,	-0.952041,	-0.455582,	-1.1911,	-1.22692,	-0.982102,	-0.816603,	-0.718706,	-0.748038,	-0.28013,	-0.791827,	-0.387501,	-0.397406,	-0.287164,	-0.388237,	0.19983,	-0.0125286,	-0.0433389,	-0.104218,	0.268454,	0.620561,	1.01985,	0.263917,	1.19189,	0.47578,	1.22773,	1.23474,	1.38308,	0.623789,	1.00265,	0.904332,	0.664419,	1.0476,	1.05049,	0.621145,	0.879994,	1.29402,	0.731474,	0.86575,	0.504914,	0.0449538,	0.214596,	0.63058,	0.0797248,	-0.281707,	0.0464896,	-0.197731,	0.0756125,	-0.236792,	-0.0520635,	
-0.131162,	-0.845614,	-0.993058,	-0.371259,	-0.622944,	-1.30571,	-0.478645,	-0.903259,	-0.908968,	-0.872376,	-0.733931,	-0.644634,	-1.11273,	-1.39663,	-0.723273,	-1.09146,	-0.540782,	-0.95709,	-0.440598,	-1.02461,	-0.996925,	-0.165614,	-0.915022,	-0.181397,	-0.0396823,	-0.238888,	-0.197068,	0.502672,	0.0217001,	0.16136,	-0.0257634,	0.236547,	0.313558,	0.977988,	0.408674,	0.54388,	0.706294,	1.06169,	0.545048,	1.31145,	0.552615,	0.950838,	0.529248,	1.25184,	1.18848,	0.682873,	1.11851,	0.956772,	1.20204,	0.853304,	
1.13195,	0.577831,	0.438004,	0.484631,	0.162422,	0.742384,	0.183596,	-0.127694,	-0.0502067,	0.121196,	-0.278101,	-0.595884,	-0.0159915,	-0.378841,	-0.675636,	-0.908205,	-0.985297,	-0.749413,	-0.897867,	-0.641324,	-1.3547,	-0.61109,	-0.802242,	-1.35936,	-0.641541,	-1.29405,	-0.87056,	-0.909097,	-1.25455,	-1.36678,	-0.547803,	-0.493165,	-0.767974,	-1.05644,	-0.445582,	-0.769944,	-0.123821,	-0.222952,	-0.40642,	0.356924,	0.298015,	0.526407,	-0.193663,	0.0168563,	0.66286,	0.710706,	0.874053,	0.676067,	0.670027,	0.918696,	
1.21809,	1.07936,	0.969321,	0.772261,	1.19541,	0.881132,	1.0653,	1.37361,	1.30698,	1.33147,	1.33101,	1.15786,	0.285778,	0.221673,	0.233033,	0.326823,	0.0037691,	0.315125,	0.138267,	0.241749,	0.527755,	-0.199739,	-0.259996,	0.162537,	-0.453359,	-0.749675,	-0.47008,	-0.206532,	-0.758556,	-0.520437,	-0.654327,	-0.89013,	-0.916789,	-0.481693,	-1.37959,	-1.20532,	-1.05036,	-0.912052,	-0.614256,	-1.00515,	-1.00945,	-0.663844,	-0.896187,	-0.448704,	-0.780366,	-0.678656,	-0.612452,	-0.787541,	-0.843419,	-0.769264,	
0.147432,	-0.409696,	0.318255,	0.268351,	0.528819,	0.69184,	-0.0111774,	0.33484,	1.0089,	0.755258,	1.0829,	0.737881,	0.331357,	0.993591,	0.646554,	0.978493,	1.20215,	1.10091,	1.08827,	0.929752,	0.726952,	0.888383,	0.436656,	0.9931,	1.29122,	0.369328,	0.242378,	1.01887,	0.299096,	-0.0249239,	0.69043,	-0.0783944,	0.56376,	-0.319779,	-0.162493,	-0.0213792,	-0.128218,	-0.142186,	-0.255212,	-0.559212,	-0.937243,	-0.403728,	-0.985975,	-0.642136,	-0.492135,	-1.31356,	-0.465299,	-1.43602,	-0.652492,	-0.662733,	
-1.44916,	-0.943727,	-0.527147,	-1.11985,	-0.596463,	-0.754113,	-0.509926,	-0.436406,	-1.11472,	-0.803146,	-0.349087,	-0.424067,	0.152085,	0.0238834,	-0.0583606,	-0.227572,	-0.170495,	0.559156,	0.216866,	0.680827,	0.0543064,	0.902136,	0.151324,	1.09777,	1.16649,	0.850943,	0.499056,	0.599889,	1.16223,	1.31195,	0.5301,	1.25784,	1.45185,	0.822404,	1.09279,	0.763026,	0.592773,	1.11003,	0.986213,	0.473632,	0.701952,	0.459064,	0.0432886,	-0.1161,	0.256076,	-0.0543921,	-0.0921637,	-0.244513,	-0.460583,	-0.330533,	
-0.12816,	-0.714892,	-0.340818,	-0.647587,	-0.734965,	-1.06395,	-1.10953,	-0.741838,	-1.1362,	-0.883434,	-0.526808,	-0.775893,	-0.820023,	-0.538755,	-0.711722,	-0.858387,	-0.487516,	-1.33593,	-1.07797,	-0.302655,	-0.45189,	-0.676271,	-0.391742,	-0.571002,	-0.518207,	-0.591526,	-0.325252,	-0.579837,	-0.0374033,	-0.0764744,	0.664974,	0.34166,	0.726747,	0.378932,	0.518608,	0.963056,	1.20175,	0.801193,	1.26161,	1.12578,	0.995901,	1.42969,	1.30825,	1.45637,	1.14616,	0.872444,	0.952586,	1.36129,	0.428155,	0.524772,	
0.785749,	0.795141,	0.242293,	0.764265,	0.913445,	0.0457838,	0.281908,	0.02891,	0.635987,	0.160053,	-0.294914,	-0.515521,	-0.201123,	-0.0138563,	-0.0967729,	-0.188215,	-0.900422,	-0.636257,	-0.375468,	-1.19165,	-0.510416,	-0.512449,	-1.2307,	-1.39845,	-1.01834,	-0.664728,	-1.02757,	-1.07045,	-0.958891,	-1.30401,	-1.25568,	-0.467144,	-0.67595,	-0.947097,	-0.273976,	-1.00067,	-0.515437,	-0.160668,	-0.44974,	-0.290496,	-0.0657965,	0.401326,	0.385246,	-0.225019,	0.0810708,	0.275309,	0.850308,	0.49044,	0.389502,	0.819932,	
0.767119,	1.24383,	1.32911,	1.25247,	1.17434,	1.22985,	1.39768,	0.564581,	0.826638,	0.476547,	1.27208,	0.913759,	0.725771,	0.530943,	0.775794,	0.459703,	0.161148,	0.0943837,	-0.0107014,	0.238116,	-0.14426,	0.0771139,	0.433435,	-0.211812,	-0.544565,	-0.193278,	0.0176187,	-0.600292,	-0.993915,	-0.975111,	-1.1163,	-0.520891,	-0.865807,	-0.706781,	-0.719739,	-0.8824,	-0.850307,	-0.616697,	-0.837634,	-0.620106,	-1.01359,	-1.31555,	-1.35498,	-0.665868,	-1.02033,	-0.597081,	-0.548077,	-0.594703,	-0.329646,	-0.453501,	
-0.379292,	-0.274762,	0.260789,	-0.18674,	-0.358952,	-0.135988,	0.406947,	0.657524,	0.881467,	0.215435,	0.844552,	0.746418,	0.636756,	0.808002,	0.849789,	1.05316,	1.18414,	0.77163,	0.578843,	1.32487,	0.888177,	1.26361,	0.647508,	0.547663,	1.30425,	1.22725,	1.29399,	1.09382,	0.194522,	0.623834,	0.992488,	0.416656,	0.685883,	-0.213806,	0.604955,	0.4404,	-0.0179584,	-0.249842,	-0.440733,	-0.152343,	-0.950173,	-0.675896,	-0.207904,	-0.658442,	-0.798323,	-0.835246,	-1.07407,	-0.474647,	-0.476683,	-0.968726,	
-0.503498,	-1.04409,	-1.06775,	-1.2645,	-1.25862,	-0.583761,	-0.645366,	-0.789033,	-0.428292,	-0.676525,	-0.560586,	-0.817292,	-0.355483,	-0.708837,	-0.704162,	0.0247001,	0.0493138,	-0.239636,	0.0465355,	0.368309,	0.389473,	0.0541694,	0.183951,	0.0987719,	0.592982,	0.733609,	0.467851,	1.02961,	0.426854,	0.565693,	1.42577,	1.46741,	0.530462,	0.991438,	1.34832,	0.706668,	1.26663,	1.20519,	0.970915,	0.286108,	0.597688,	1.04929,	0.745715,	0.359015,	0.522177,	0.0396237,	0.270938,	0.582431,	0.350555,	-0.31552,	
-0.0153559,	-0.436561,	0.0983127,	-0.894673,	-0.813616,	-0.332203,	-1.13232,	-0.75153,	-0.540376,	-0.651988,	-1.29006,	-1.02543,	-1.13492,	-1.01894,	-0.912195,	-1.34597,	-0.568715,	-0.806388,	-1.24672,	-0.797739,	-0.377394,	-0.463185,	-0.49042,	-0.632952,	-0.755931,	-0.358901,	-0.58704,	-0.420795,	0.268818,	0.342767,	0.352092,	0.582693,	-0.0664631,	0.367507,	0.568743,	0.942278,	0.775135,	0.576325,	0.996239,	1.13541,	0.971492,	0.500813,	1.37369,	0.530944,	1.02062,	0.618765,	0.876384,	1.29545,	0.703267,	1.31057,	
1.09651,	0.7109,	0.522238,	0.459013,	0.899187,	0.101276,	0.650664,	0.494964,	0.526938,	0.660277,	-0.0321271,	-0.255735,	0.261788,	0.0918287,	-0.349591,	-0.81309,	-0.429085,	-0.890344,	-0.624639,	-0.873338,	-0.978353,	-0.623236,	-0.882552,	-0.647052,	-1.26321,	-0.809928,	-1.44601,	-0.697809,	-0.810916,	-0.524093,	-1.34947,	-0.49411,	-0.845099,	-0.684109,	-0.918918,	-1.08614,	-0.235011,	-0.857249,	-0.542428,	-0.197534,	0.273811,	-0.107977,	0.464863,	-0.199185,	0.0714722,	0.467489,	-0.0696926,	0.704421,	0.463689,	0.935706,	
