1.30899,	0.851513,	0.55331,	1.04633,	1.33125,	0.571348,	0.757703,	1.014,	0.235891,	1.06793,	0.803976,	0.512417,	0.0462007,	0.265448,	0.187813,	0.56498,	0.325652,	0.333559,	-0.0482611,	-0.419788,	0.0188322,	-0.525362,	-0.85671,	-0.769986,	-0.532316,	-0.742585,	-0.600258,	-0.408591,	-0.479791,	-0.935891,	-0.526122,	-1.38351,	-1.44685,	-1.18313,	-0.886606,	-0.905492,	-0.49555,	-0.80755,	-0.858987,	-0.683265,	-0.441229,	-1.05815,	-0.18934,	-0.75829,	-0.328858,	-0.45396,	-0.243061,	0.149376,	-0.242892,	-0.0347036,	
-0.373051,	0.480178,	0.418506,	0.550328,	0.560234,	0.514997,	0.409154,	0.82276,	0.350162,	0.444707,	0.372985,	1.36532,	1.4102,	0.593102,	0.956379,	1.15551,	0.788868,	1.24311,	1.0267,	0.866708,	0.667061,	1.10556,	1.19365,	0.959224,	0.565812,	1.01891,	0.251842,	0.440434,	0.768813,	-0.0145459,	-0.130735,	0.447136,	-0.511867,	-0.380156,	-0.185287,	-0.668119,	-0.326371,	-0.250102,	-0.627509,	-0.552848,	-0.475125,	-1.09742,	-0.781371,	-1.31235,	-0.942404,	-0.644114,	-0.575139,	-1.00172,	-1.21637,	-0.825565,	
-0.535114,	-0.907385,	-0.39868,	-1.12252,	-1.14735,	-0.892333,	-0.717533,	-0.611326,	-0.633419,	-0.15942,	-0.66623,	-0.258273,	-0.265838,	-0.15457,	-0.255942,	0.330504,	0.115218,	0.0802048,	0.013888,	0.379943,	0.724318,	1.11484,	0.349188,	1.26659,	0.539166,	1.27917,	1.27371,	1.4092,	0.636796,	1.00241,	0.890855,	0.637836,	1.00818,	0.998624,	0.557345,	0.804903,	1.20839,	0.636157,	0.7617,	0.393171,	-0.073366,	0.0908818,	0.502707,	-0.0510288,	-0.414035,	-0.0860905,	-0.329239,	-0.0535086,	-0.362237,	-0.172578,	
-0.245543,	-0.952718,	-1.09181,	-0.460681,	-0.702139,	-1.37388,	-0.535121,	-0.947471,	-0.940474,	-0.890862,	-0.739211,	-0.636656,	-1.09158,	-1.3625,	-0.676523,	-1.03255,	-0.470303,	-0.875745,	-0.349199,	-0.924074,	-0.88825,	-0.04989,	-0.793404,	-0.0551009,	0.0900305,	-0.107055,	-0.064432,	0.634786,	0.151972,	0.288488,	0.0969509,	0.353622,	0.423822,	1.08034,	0.502092,	0.62743,	0.779143,	1.12311,	0.594422,	1.34829,	0.576546,	0.961625,	0.526782,	1.23614,	1.15972,	0.641325,	1.0646,	0.891026,	1.12512,	0.765981,	
1.03509,	0.472413,	0.325075,	0.36532,	0.0379205,	0.613936,	0.0524862,	-0.260157,	-0.182699,	-0.0100019,	-0.406693,	-0.720586,	-0.135557,	-0.492075,	-0.781408,	-1.00546,	-1.07306,	-0.826807,	-0.96412,	-0.695774,	-1.3968,	-0.640425,	-0.818517,	-1.36241,	-0.631338,	-1.2707,	-0.834286,	-0.860267,	-1.19365,	-1.29443,	-0.464708,	-0.400163,	-0.665995,	-0.946499,	-0.328784,	-0.647453,	0.00313878,	-0.0927917,	-0.27436,	0.489566,	0.429912,	0.656241,	-0.0671891,	0.138707,	0.778869,	0.819715,	0.974973,	0.767889,	0.751834,	0.98967,	
1.27752,	1.12666,	1.00401,	0.793995,	1.20397,	0.876436,	1.0474,	1.34267,	1.26332,	1.27553,	1.26333,	1.07913,	0.196789,	0.123308,	0.126276,	0.21274,	-0.1165,	0.189872,	0.00928138,	0.110319,	0.395194,	-0.332106,	-0.390847,	0.0345101,	-0.577283,	-0.868258,	-0.582137,	-0.310943,	-0.854279,	-0.606514,	-0.729899,	-0.954442,	-0.969198,	-0.521675,	-1.40674,	-1.21938,	-1.05118,	-0.899627,	-0.588709,	-0.966732,	-0.958552,	-0.600973,	-0.821969,	-0.363882,	-0.685786,	-0.575265,	-0.501281,	-0.669702,	-0.72009,	-0.641676,	
0.278004,	-0.277445,	0.450864,	0.399992,	0.658178,	0.817624,	0.109775,	0.449752,	1.11663,	0.854716,	1.1731,	0.81792,	0.400436,	1.05102,	0.69176,	1.01102,	1.22168,	1.10724,	1.08134,	0.909639,	0.693851,	0.842623,	0.378696,	0.923518,	1.21071,	0.278697,	0.142531,	0.910801,	0.183892,	-0.146116,	0.56446,	-0.207882,	0.432048,	-0.4524,	-0.294697,	-0.151846,	-0.255644,	-0.265297,	-0.372779,	-0.67006,	-1.04026,	-0.497894,	-1.07034,	-0.715864,	-0.554487,	-1.36392,	-0.503149,	-1.46098,	-0.664331,	-0.661324,	
-1.43452,	-0.915994,	-0.486604,	-1.0669,	-0.531637,	-0.678058,	-0.423401,	-0.340277,	-1.00995,	-0.690775,	-0.230242,	-0.299934,	0.280265,	0.154829,	0.0740431,	-0.0950333,	-0.0391463,	0.688003,	0.341924,	0.800846,	0.168088,	1.00854,	0.249292,	1.18632,	1.24474,	0.918109,	0.554468,	0.642993,	1.19259,	1.32927,	0.534207,	1.24869,	1.42953,	0.787147,	1.04494,	0.703068,	0.521302,	1.02776,	0.893967,	0.372331,	0.592608,	0.34277,	-0.0787932,	-0.24275,	0.126123,	-0.18635,	-0.224807,	-0.376517,	-0.590629,	-0.457321,	
-0.250424,	-0.831409,	-0.450425,	-0.749189,	-0.827547,	-1.14659,	-1.1814,	-0.802213,	-1.18448,	-0.919141,	-0.549583,	-0.785509,	-0.816383,	-0.521896,	-0.681812,	-0.815726,	-0.43253,	-1.26917,	-1.0001,	-0.214452,	-0.354238,	-0.570144,	-0.278202,	-0.451183,	-0.393306,	-0.46279,	-0.193969,	-0.447318,	0.0950277,	0.0545453,	0.793274,	0.465957,	0.845799,	0.491551,	0.623668,	1.05951,	1.28863,	0.877631,	1.32685,	1.17915,	1.03689,	1.45788,	1.32336,	1.45825,	1.13478,	0.847934,	0.915184,	1.31137,	0.366216,	0.451432,	
0.701741,	0.701305,	0.139567,	0.653674,	0.796095,	-0.0771529,	0.154613,	-0.101472,	0.503821,	0.0274246,	-0.426681,	-0.645109,	-0.327238,	-0.135238,	-0.212208,	-0.296551,	-1.00058,	-0.727228,	-0.456347,	-1.26163,	-0.568797,	-0.558647,	-1.26426,	-1.41903,	-1.02573,	-0.65886,	-1.00851,	-1.03837,	-0.914124,	-1.247,	-1.187,	-0.387477,	-0.586093,	-0.847948,	-0.166526,	-0.88599,	-0.394678,	-0.0350338,	-0.320485,	-0.158912,	0.0668006,	0.533612,	0.5159,	-0.0973042,	0.204571,	0.393361,	0.961733,	0.594124,	0.484408,	0.905113,	
0.841723,	1.30711,	1.38044,	1.29133,	1.20035,	1.24274,	1.39733,	0.550987,	0.799939,	0.437011,	1.2201,	0.849857,	0.650583,	0.445222,	0.680395,	0.35558,	0.0493413,	-0.0239893,	-0.134458,	0.110212,	-0.275033,	-0.0552222,	0.300859,	-0.343304,	-0.673659,	-0.318685,	-0.102846,	-0.714613,	-1.10095,	-1.07379,	-1.20564,	-0.599991,	-0.933882,	-0.76315,	-0.763839,	-0.913792,	-0.868676,	-0.62186,	-0.829538,	-0.598833,	-0.979351,	-1.26869,	-1.29596,	-0.595289,	-0.938891,	-0.505597,	-0.447461,	-0.485961,	-0.213864,	-0.331836,	
-0.25296,	-0.145025,	0.392635,	-0.0541025,	-0.226849,	-0.0057385,	0.534042,	0.780194,	0.998486,	0.325633,	0.94683,	0.839753,	0.720215,	0.880751,	0.911103,	1.10243,	1.22086,	0.795445,	0.589512,	1.32228,	0.872367,	1.23473,	0.605848,	0.49364,	1.2384,	1.15023,	1.20658,	0.996886,	0.0890323,	0.510844,	0.873126,	0.292114,	0.557406,	-0.344934,	0.472486,	0.307914,	-0.149139,	-0.378405,	-0.565394,	-0.271858,	-1.06335,	-0.781598,	-0.305077,	-0.746116,	-0.875622,	-0.901397,	-1.12842,	-0.516638,	-0.505903,	-0.984884,	
-0.506431,	-1.03377,	-1.04428,	-1.22811,	-1.20968,	-0.522758,	-0.572909,	-0.705846,	-0.335206,	-0.57447,	-0.450582,	-0.700438,	-0.232946,	-0.581843,	-0.573978,	0.156772,	0.181954,	-0.107752,	0.176345,	0.494748,	0.511277,	0.170122,	0.292893,	0.199615,	0.684718,	0.815323,	0.538726,	1.08893,	0.474041,	0.600268,	1.44739,	1.47585,	0.525649,	0.973416,	1.31727,	0.662896,	1.21057,	1.13742,	0.892096,	0.197031,	0.499245,	0.942464,	0.631572,	0.238696,	0.396885,	-0.0893896,	0.139492,	0.449866,	0.218196,	-0.446352,	
-0.143352,	-0.560444,	-0.0202175,	-1.00667,	-0.917955,	-0.427844,	-1.21831,	-0.827005,	-0.604585,	-0.704288,	-1.32993,	-1.05247,	-1.14886,	-1.01964,	-0.899653,	-1.32031,	-0.530188,	-0.755382,	-1.18375,	-0.723424,	-0.292481,	-0.368523,	-0.386954,	-0.521718,	-0.638039,	-0.235528,	-0.45942,	-0.290203,	0.401078,	0.475373,	0.483719,	0.712026,	0.0592832,	0.48841,	0.683595,	1.04993,	0.874515,	0.666438,	1.07618,	1.20439,	1.02882,	0.545908,	1.40611,	0.550358,	1.02684,	0.611724,	0.856154,	1.26223,	0.657397,	1.2525,	
1.02683,	0.630297,	0.431522,	0.359088,	0.791053,	-0.0139869,	0.529423,	0.368958,	0.397425,	0.52855,	-0.16475,	-0.38793,	0.131342,	-0.0355642,	-0.472658,	-0.930602,	-0.539868,	-0.993292,	-0.718721,	-0.957615,	-1.05198,	-0.685484,	-0.932796,	-0.684789,	-1.28806,	-0.821649,	-1.44448,	-0.683048,	-0.783069,	-0.483438,	-1.29641,	-0.429181,	-0.768947,	-0.597495,	-0.822707,	-0.981289,	-0.122577,	-0.738351,	-0.418254,	-0.0693241,	0.404776,	0.0244343,	0.597397,	-0.0678524,	0.200291,	0.592508,	0.0502764,	0.818142,	0.570025,	1.0336,	
0.66732,	0.664348,	1.38045,	1.15277,	0.878614,	0.58526,	1.23253,	1.13665,	0.564568,	0.59272,	1.42558,	0.903123,	0.382022,	0.358135,	0.381836,	1.06369,	0.558597,	0.57027,	0.415416,	-0.103915,	0.630006,	-0.0773374,	-0.196458,	0.0287435,	-0.188864,	-0.394078,	-0.201803,	-0.010667,	-0.415411,	-0.83461,	-0.987715,	-0.822284,	-1.29508,	-0.498846,	-0.808892,	-1.25016,	-0.959083,	-1.44064,	-0.637799,	-1.05258,	-0.933096,	-0.890028,	-0.742717,	-1.00873,	-1.25009,	-0.811894,	-1.15265,	-0.387495,	-1.00675,	-0.00406773,	
-0.124919,	0.164849,	-0.161822,	-0.335117,	-0.216132,	0.382562,	0.715381,	0.174977,	0.664181,	0.110314,	0.681254,	0.592911,	0.964522,	0.559137,	0.448953,	0.852758,	1.08051,	0.601716,	0.942053,	1.1511,	1.32559,	0.796379,	0.870502,	1.32253,	1.09967,	0.592768,	1.05403,	0.520492,	0.435083,	0.0852595,	0.369583,	0.342581,	0.116669,	0.00683288,	-0.140067,	0.45437,	0.277971,	-0.284076,	-0.299158,	-0.308071,	-0.474209,	-0.780145,	-0.140849,	-1.02125,	-0.410553,	-1.29915,	-1.05109,	-0.676737,	-0.81431,	-1.31305,	
-0.543883,	-0.956663,	-1.24238,	-0.899141,	-0.536393,	-0.520919,	-0.889497,	-0.876039,	-0.945618,	-1.13309,	-0.358756,	-0.898629,	-0.587381,	-0.45573,	0.129136,	-0.637368,	0.284835,	-0.171221,	-0.109402,	0.226781,	0.563201,	0.129206,	0.231029,	1.07411,	0.768055,	0.549527,	1.27569,	1.25874,	0.598959,	0.447817,	1.18541,	1.35928,	0.617856,	0.536579,	1.08379,	1.0681,	0.948788,	0.39911,	1.03088,	1.22989,	1.0915,	0.258162,	0.419932,	0.222128,	0.450556,	0.409081,	0.000334027,	0.398844,	0.296515,	0.182128,	
-0.346715,	-0.740389,	-0.179909,	0.0142693,	-0.901445,	-1.02998,	-0.303872,	-0.801127,	-0.489193,	-0.580897,	-1.24496,	-1.21612,	-1.43111,	-0.888471,	-0.722366,	-0.980713,	-1.4463,	-0.456197,	-0.90872,	-1.03165,	-1.13513,	-0.62065,	-0.600972,	-0.348186,	-0.862731,	-0.571382,	-0.69186,	0.110511,	-0.304115,	-0.267256,	-0.436487,	0.458795,	0.252105,	0.387808,	0.81265,	0.751939,	0.779253,	0.36596,	0.806727,	1.27765,	0.967169,	1.22439,	1.43587,	1.36327,	0.70743,	0.534542,	0.947364,	0.49641,	0.932882,	1.37734,	
0.632816,	0.719174,	0.704752,	1.03705,	0.95659,	0.504413,	0.345935,	0.800555,	0.521097,	0.420654,	0.530875,	-0.00584123,	0.176197,	-0.262094,	0.0384871,	-0.513621,	-0.254978,	-0.101289,	-0.633029,	-0.798456,	-1.08598,	-1.02658,	-1.28745,	-1.06249,	-1.1378,	-1.14593,	-0.681377,	-0.967296,	-0.968363,	-0.695792,	-1.32076,	-0.777098,	-1.0084,	-0.964393,	-0.660373,	-0.299685,	-0.887062,	-0.329325,	-0.0110825,	-0.620769,	-0.425457,	-0.1288,	0.364256,	0.0756951,	-0.0495378,	0.304878,	0.439916,	0.369564,	0.058052,	0.827154,	
0.705998,	0.648392,	0.392268,	0.73786,	0.65669,	0.659884,	1.29455,	0.888787,	0.553569,	0.869695,	1.25435,	0.619578,	1.33189,	0.69508,	0.653104,	0.466784,	0.961369,	0.188796,	0.987343,	0.108637,	0.14549,	0.451203,	-0.192385,	0.0792797,	0.188576,	0.296478,	0.00144348,	-0.0768014,	-0.512055,	-0.768418,	-0.570519,	-0.949844,	-0.397401,	-0.640332,	-0.542479,	-0.611707,	-0.974301,	-1.16228,	-0.802908,	-0.512424,	-0.728147,	-0.657332,	-0.759799,	-0.839868,	-0.642307,	-0.84949,	-0.423656,	-1.15546,	-0.182405,	-0.973157,	
-0.440184,	-0.494572,	-0.69691,	0.0168445,	0.00506074,	0.274132,	0.157658,	0.501321,	0.363843,	0.825294,	0.843104,	0.56493,	0.926257,	0.684202,	1.10661,	0.659145,	1.36331,	0.707012,	0.533988,	1.23513,	1.32802,	1.42213,	0.819789,	1.27989,	0.98737,	0.876234,	1.18839,	1.26557,	0.327836,	0.890624,	0.340454,	0.421948,	0.203476,	0.675814,	0.743193,	0.299613,	0.25436,	0.382753,	0.0386386,	-0.178634,	-0.461647,	-0.3,	-0.659093,	-0.697225,	-0.812625,	-0.782598,	-0.809752,	-0.456674,	-1.20616,	-1.11025,	
-0.901504,	-1.00573,	-1.23756,	-0.917305,	-0.605735,	-1.40044,	-0.988242,	-1.3033,	-0.773896,	-0.739032,	-0.443717,	-0.905005,	-0.470678,	-0.513435,	-0.021076,	-0.127053,	-0.336965,	-0.244706,	-0.238304,	0.560297,	0.00468322,	-0.0384612,	0.258051,	0.728041,	0.777109,	0.851191,	0.229118,	0.662607,	1.24725,	0.713143,	1.03198,	0.763457,	0.611789,	0.886383,	1.317,	1.47178,	1.33399,	0.527512,	0.74366,	0.595283,	0.621581,	1.22481,	0.717809,	0.841313,	0.8505,	0.0870431,	0.730558,	-0.163381,	0.37831,	0.26298,	
0.151133,	-0.532187,	-0.317457,	-0.349456,	-0.419171,	-0.176869,	-0.440424,	-0.387698,	-0.73075,	-0.366941,	-1.30878,	-0.877816,	-1.17236,	-0.99828,	-0.80969,	-1.29173,	-0.887274,	-1.15476,	-0.575783,	-1.28938,	-1.27728,	-0.368701,	-1.11477,	-1.04733,	-0.969506,	-0.954439,	-0.503098,	-0.197569,	0.0595556,	0.115923,	0.137575,	-0.002612,	0.333058,	0.680964,	0.324888,	0.217185,	0.790845,	0.321316,	0.397283,	0.699107,	0.917883,	0.969936,	0.524802,	0.564529,	0.754352,	1.22509,	0.91025,	1.32752,	1.42328,	0.866983,	
0.490206,	0.969888,	1.0981,	0.613902,	0.721893,	0.378628,	1.0177,	0.476406,	0.444832,	0.0325841,	-0.18895,	-0.3233,	0.336308,	0.188374,	-0.486482,	0.115688,	-0.18959,	-0.307769,	-0.0603169,	-1.09759,	-0.781298,	-0.78279,	-0.748771,	-1.30019,	-0.765666,	-1.40662,	-0.925625,	-0.784141,	-1.01201,	-0.876089,	-1.26375,	-0.805939,	-1.03552,	-1.26786,	-0.940757,	-0.993932,	-0.94647,	-0.488922,	-0.506896,	-0.529269,	-0.632977,	0.103027,	0.203277,	-0.27442,	0.156989,	0.420624,	0.694111,	0.754606,	0.312209,	0.178157,	
