0.314724,	0.505625,	-0.174344,	0.708896,	0.521778,	0.0769659,	0.343141,	0.691099,	1.17486,	1.24822,	0.499084,	1.3618,	1.38921,	0.948934,	1.28573,	0.639381,	0.921335,	1.4074,	1.26605,	1.40579,	1.06504,	0.398921,	1.15763,	1.1797,	0.854198,	0.856212,	0.758634,	0.319607,	0.490466,	-0.089564,	0.347166,	-0.426586,	-0.281451,	-0.611574,	-0.658409,	-0.0273254,	-0.247692,	-0.712737,	-0.161636,	-1.15332,	-0.818058,	-0.936719,	-0.606059,	-0.620966,	-1.26473,	-0.987766,	-1.0481,	-0.85361,	-0.7868,	-0.727766,	
-0.763415,	-1.09784,	-0.792015,	-0.744516,	-0.969914,	-1.34718,	-0.981782,	-0.826091,	-0.910393,	-0.907071,	-0.19983,	-0.503844,	0.0461249,	-0.35493,	0.120994,	-0.151857,	0.359824,	0.405832,	0.12609,	0.0601679,	0.726572,	0.973126,	0.433812,	0.853877,	0.690804,	1.14769,	1.13694,	0.580561,	1.31138,	1.46589,	1.0073,	1.38409,	1.08478,	0.6385,	0.66077,	0.835421,	1.13545,	1.16175,	1.0672,	0.529061,	0.670802,	0.146528,	0.0825614,	0.0167218,	0.464854,	0.184292,	-0.220152,	-0.0147336,	-0.461911,	-0.653231,	
0.0459021,	-0.337811,	-0.0583411,	-0.375987,	-0.568845,	-0.40871,	-0.41033,	-0.357782,	-1.39506,	-0.570085,	-0.853551,	-0.497108,	-0.970457,	-1.01972,	-0.689015,	-1.24375,	-0.945012,	-0.504349,	-0.78359,	-0.457548,	-0.50054,	-0.582262,	-0.843907,	-0.340715,	-0.835072,	-0.199836,	-0.0688368,	0.0982805,	0.358904,	0.550397,	0.436385,	0.346392,	0.7882,	0.531324,	0.055054,	0.240392,	1.05751,	0.747429,	1.16869,	0.585714,	0.972317,	1.08443,	0.511528,	1.10945,	0.862408,	0.544798,	0.970159,	0.648626,	0.545173,	0.584344,	
0.473344,	0.455618,	0.241257,	0.758881,	0.324397,	0.494552,	0.559989,	0.269167,	0.208378,	0.0185629,	-0.402619,	-0.135859,	0.128377,	0.0531461,	-0.643442,	-0.794096,	-0.521377,	-0.523986,	-0.818573,	-1.09358,	-0.407587,	-1.32087,	-1.33562,	-1.32828,	-1.32315,	-0.878063,	-0.924736,	-1.43582,	-0.53627,	-0.708721,	-0.660086,	-1.2861,	-0.432145,	-0.293347,	-0.171248,	-0.218051,	-0.207009,	-0.389848,	-0.632251,	-0.314795,	-0.480854,	-0.484148,	0.524001,	-0.0147851,	0.0766545,	0.20846,	0.433243,	0.700366,	0.157871,	1.049,	
0.832923,	1.18735,	0.732165,	0.872511,	0.513666,	0.65989,	1.15913,	0.830729,	1.39198,	0.595309,	1.43947,	0.955435,	1.07762,	1.31675,	0.54349,	0.600998,	0.575292,	0.792286,	0.759131,	-0.0506592,	-0.0680597,	0.0156263,	-0.386695,	-0.0214697,	-0.307029,	-0.565305,	-0.627715,	-0.0238316,	-0.341631,	-0.631426,	-0.264639,	-1.14288,	-0.563994,	-0.627837,	-0.848174,	-1.26268,	-0.877038,	-1.19196,	-1.3655,	-1.28477,	-0.590205,	-1.39163,	-1.18891,	-1.33665,	-0.898788,	-1.26894,	-0.318926,	-0.9462,	-0.969805,	-0.670499,	
-0.431724,	-0.692153,	0.298462,	-0.265973,	-0.200877,	-0.336354,	-0.00134611,	-0.156432,	0.396482,	0.74241,	0.697178,	0.235467,	0.299455,	1.06167,	1.24756,	0.925784,	0.541835,	1.28984,	0.823848,	0.791592,	1.24583,	0.501771,	0.52189,	1.11364,	1.01202,	0.888414,	1.03716,	0.951774,	0.955529,	0.385025,	0.70651,	0.482443,	0.229835,	-0.200885,	0.419537,	-0.12261,	0.0477186,	0.0817545,	-0.652445,	-0.724558,	-0.394573,	-0.546112,	-0.222786,	-0.390094,	-0.523621,	-1.26797,	-1.29956,	-1.32835,	-0.653796,	-0.534895,	
-0.810173,	-1.36786,	-0.773283,	-1.37177,	-1.34093,	-0.784424,	-1.05381,	-0.677469,	-0.522504,	-0.621095,	-0.389856,	-0.814375,	-0.228071,	0.0983699,	0.0892208,	-0.594181,	-0.214882,	-0.112211,	0.303342,	0.314796,	0.602593,	0.274126,	0.201685,	0.166554,	0.930259,	0.435858,	0.683019,	0.903148,	0.628439,	1.08055,	0.952845,	0.640285,	1.28057,	0.599464,	0.783165,	0.706829,	0.970999,	0.492903,	0.758991,	0.402263,	0.345474,	0.946066,	0.375046,	0.603016,	0.874922,	0.249899,	0.41591,	0.380791,	-0.0443581,	0.0785757,	
-0.566321,	0.16029,	-0.68067,	-0.692936,	-0.24768,	-0.638852,	-0.432184,	-0.872816,	-1.05588,	-1.3433,	-0.750164,	-1.02759,	-1.02954,	-0.885747,	-1.44058,	-1.17855,	-0.706093,	-0.757052,	-1.2933,	-1.24444,	-1.22947,	-1.25301,	-0.769135,	-0.461167,	-0.312151,	-0.416851,	-0.747752,	-0.129751,	-0.537352,	-0.430246,	-0.366008,	-0.22298,	-0.0985112,	0.0254012,	0.239258,	0.326619,	0.311067,	0.42193,	1.13449,	1.00806,	0.915807,	0.591139,	0.656313,	0.54977,	1.40465,	1.20609,	1.0557,	0.799911,	0.631398,	1.05676,	
1.38193,	0.51523,	0.54495,	0.618452,	0.222932,	0.753834,	0.387234,	0.877945,	0.203609,	0.325401,	-0.239643,	-0.112468,	-0.432542,	0.0655105,	0.0815072,	-0.532936,	-0.288451,	-0.765377,	-0.608844,	-0.380609,	-0.681976,	-1.0028,	-1.08916,	-0.977187,	-1.03924,	-1.12477,	-0.938719,	-0.75719,	-1.06811,	-1.04588,	-1.32341,	-1.38742,	-1.07613,	-0.994601,	-0.596123,	-0.223077,	-0.167686,	-0.562907,	-0.692487,	-0.0769132,	0.0140754,	0.0934058,	0.195927,	-0.341883,	0.333194,	0.212815,	0.0571459,	0.0354825,	0.848153,	0.281962,	
0.346832,	0.918731,	1.20909,	0.885084,	1.11637,	0.603273,	1.42966,	1.03386,	1.17956,	0.53325,	1.29279,	1.20928,	0.548322,	0.911382,	0.661515,	0.823126,	0.608792,	0.551146,	0.236577,	0.225459,	-0.0998565,	0.709026,	0.341942,	0.521867,	-0.347115,	0.310695,	0.0855841,	-0.228262,	-0.459149,	-0.731111,	-0.321435,	-0.92364,	-1.16053,	-0.522559,	-0.675963,	-0.680765,	-0.793777,	-1.0473,	-1.09644,	-0.68205,	-1.18178,	-0.6757,	-0.682305,	-0.590547,	-0.899187,	-0.722134,	-0.351302,	-0.794618,	-1.10757,	-0.223174,	
-0.375177,	-0.562674,	0.172048,	-0.504745,	0.0218602,	0.0740307,	-0.0437743,	-0.189582,	-0.209064,	0.281828,	0.136126,	0.764595,	0.490592,	1.037,	0.997936,	0.895366,	0.553592,	1.37776,	0.720137,	1.4043,	0.718597,	0.873562,	0.582679,	1.12053,	0.636472,	0.466797,	1.1016,	0.673766,	0.926592,	0.581838,	0.750335,	0.0634333,	0.865735,	0.664557,	0.515043,	0.484815,	-0.0441998,	0.0898402,	-0.0516029,	-0.195435,	-0.546553,	-0.665916,	-0.551686,	-0.859363,	-0.360512,	-0.250099,	-1.2701,	-0.820315,	-1.31624,	-0.639539,	
-0.48139,	-1.4228,	-0.559662,	-1.48022,	-0.803917,	-0.68351,	-0.902935,	-0.512177,	-0.450027,	-0.666106,	-1.08927,	-0.937174,	-0.894123,	-0.949975,	-0.79547,	-0.192565,	0.227144,	-0.259447,	-0.103521,	0.570094,	0.630361,	0.458618,	0.864649,	0.733791,	0.389607,	0.795713,	0.451591,	0.56996,	1.01392,	0.912547,	0.838412,	1.06231,	1.23347,	1.07993,	1.05168,	1.07696,	0.988785,	0.533373,	1.13466,	1.36642,	0.671277,	1.22632,	0.532278,	0.996292,	0.482269,	0.353557,	0.0660189,	-0.121381,	-0.0359714,	0.281818,	
0.238629,	0.0500303,	-0.732033,	0.00571586,	-0.00745524,	-0.246828,	-1.05794,	-0.799239,	-0.543138,	-0.580549,	-1.14027,	-1.14135,	-0.774127,	-0.996957,	-0.868288,	-1.2632,	-1.32018,	-0.65535,	-0.69592,	-0.496592,	-1.28211,	-1.1578,	-1.18257,	-0.725733,	-0.948932,	-0.16655,	-0.877996,	-0.842797,	-0.235679,	0.0764378,	-0.285242,	-0.318353,	-0.0585601,	-0.0885744,	0.308217,	0.798235,	0.610686,	0.168373,	0.537108,	0.273827,	0.786263,	0.774629,	1.38997,	1.2446,	0.949919,	1.38035,	0.635227,	0.889497,	1.41867,	1.39073,	
1.15901,	1.02652,	0.705149,	1.24295,	0.368701,	0.904081,	0.742813,	0.846368,	0.323252,	0.582299,	0.571882,	-0.0390579,	0.09118,	0.418095,	-0.111068,	-0.427693,	-0.233806,	-0.584272,	-0.275584,	-0.700062,	-0.697353,	-0.563798,	-0.347072,	-1.04512,	-0.579427,	-0.713345,	-0.523914,	-1.46206,	-1.14308,	-0.833274,	-1.20045,	-1.22778,	-0.713676,	-0.75763,	-0.740179,	-0.610633,	-1.15609,	-0.780413,	-0.597119,	-0.721336,	-0.156359,	0.0793261,	-0.398034,	0.150617,	-0.342759,	0.455918,	-0.143677,	0.402282,	0.273442,	0.803188,	
0.584392,	0.648587,	1.10784,	0.648428,	0.801279,	1.3634,	0.481218,	1.44154,	0.67778,	1.1658,	1.08525,	1.16408,	0.83026,	1.0601,	1.21217,	0.37247,	0.380754,	1.20739,	0.812322,	0.313992,	0.402204,	0.0317099,	0.0850109,	-0.0218621,	-0.0465245,	-0.325654,	-0.2298,	-0.555291,	0.109829,	-0.774679,	-0.0298629,	-0.647235,	-1.07975,	-0.859402,	-0.533424,	-0.534636,	-0.836054,	-0.737575,	-0.563775,	-1.42666,	-1.19203,	-1.45378,	-1.29879,	-0.758468,	-0.731464,	-0.540478,	-0.791728,	-1.25063,	-0.337511,	-0.391231,	
-0.830094,	-0.490659,	0.0375103,	-0.140062,	0.0783092,	-0.229715,	-0.0930383,	0.0969993,	-0.0950362,	0.48312,	0.333879,	0.569393,	0.318699,	0.232943,	0.647119,	0.604624,	1.09348,	1.14082,	1.07559,	0.578078,	0.494186,	1.05081,	0.800224,	1.43727,	1.46724,	0.751582,	1.23477,	1.28971,	0.941849,	1.17063,	1.16477,	0.697419,	0.797395,	0.560827,	-0.0798492,	0.247109,	0.350162,	0.126307,	-0.122389,	0.342575,	0.136059,	0.0586315,	-0.511998,	-0.381584,	-0.187709,	-0.206654,	-0.54519,	-1.07325,	-0.684746,	-1.31674,	
-1.02338,	-0.795196,	-0.55081,	-0.686156,	-1.01517,	-0.735584,	-1.05799,	-0.476214,	-0.423515,	-0.501725,	-0.92272,	-0.794483,	-0.932674,	-0.318286,	-0.137197,	-0.0184527,	-0.281691,	-0.145523,	-0.497487,	0.352839,	0.00347717,	-0.141817,	0.650066,	0.608402,	0.820249,	0.310285,	0.780884,	0.84819,	0.376143,	0.722538,	0.644253,	1.1307,	0.733345,	1.3726,	1.31966,	0.88987,	0.994517,	1.17823,	1.29478,	1.03743,	0.960662,	0.661235,	0.732541,	0.923081,	1.01977,	0.775956,	-0.0120994,	0.553562,	0.223008,	0.12519,	
-0.294594,	0.303166,	-0.286429,	-0.463714,	-0.463789,	-0.524307,	-0.442946,	-0.512189,	-0.75716,	-0.827201,	-0.775066,	-0.690107,	-0.445457,	-0.713802,	-1.06649,	-0.65547,	-1.36391,	-1.4387,	-1.40587,	-1.30727,	-1.11829,	-1.10272,	-1.34566,	-0.761761,	-1.14261,	-1.02041,	-0.458066,	-0.146279,	0.0572811,	-0.253277,	0.268798,	-0.0761687,	-0.0146138,	-0.0994517,	0.0991085,	0.258464,	-0.067419,	0.840557,	0.104201,	0.557111,	1.02271,	0.658814,	0.938317,	1.1958,	1.30696,	1.38619,	0.670677,	0.753499,	1.39787,	1.08845,	
0.98408,	1.0684,	1.24082,	0.90989,	0.527903,	0.719298,	0.625244,	1.08835,	0.661092,	0.649764,	0.583336,	0.115235,	0.187818,	0.128303,	-0.371832,	-0.0659226,	-0.0315485,	-0.396008,	-0.0790824,	-0.272705,	-0.727764,	-0.711412,	-0.850414,	-0.525066,	-0.622167,	-0.973421,	-0.748177,	-0.525535,	-0.705636,	-0.793527,	-1.38901,	-1.09769,	-0.876116,	-0.977383,	-1.3468,	-1.11987,	-0.457313,	-1.21089,	-0.290593,	-0.997469,	-0.321979,	-0.401388,	-0.59017,	-0.140033,	-0.490831,	0.157905,	0.186215,	-0.258369,	-0.160832,	0.0296699,	
-0.0126338,	0.488823,	0.966239,	0.825444,	0.795144,	1.1981,	0.482811,	1.3352,	0.567943,	1.00011,	0.639625,	1.05924,	0.497866,	1.24346,	1.29921,	1.33156,	1.3568,	0.821363,	0.525897,	0.285933,	0.616893,	0.612429,	0.702219,	-0.0695832,	0.413701,	0.171216,	-0.274125,	0.393428,	-0.054153,	-0.302063,	0.103586,	-0.274675,	-0.566597,	-0.261617,	-0.645455,	-0.69418,	-0.630516,	-0.997808,	-1.17148,	-0.868519,	-0.607762,	-1.08534,	-1.38706,	-1.05339,	-1.18466,	-1.06121,	-0.597382,	-0.985962,	-0.94937,	-0.920665,	
-1.07462,	-0.881366,	-0.974892,	-0.546907,	-0.628861,	-0.494569,	-0.270328,	-0.477091,	-0.00138046,	0.309775,	-0.0542767,	0.583982,	-0.0332224,	0.376424,	0.0709651,	0.367608,	0.221127,	0.47471,	0.485869,	0.660889,	0.608213,	0.603151,	1.08493,	1.3988,	1.43884,	0.712385,	0.955706,	0.821157,	0.931593,	0.626283,	0.374758,	0.679661,	0.346692,	0.121729,	0.967132,	0.354762,	0.793197,	0.498213,	-0.355049,	0.218069,	0.14403,	-0.0161241,	-0.206664,	-0.635999,	-0.173337,	-0.804817,	-0.743799,	-0.299412,	-0.402743,	-0.917881,	
-1.05529,	-0.808949,	-0.542493,	-0.569175,	-0.902489,	-1.16739,	-0.642784,	-1.03939,	-0.553555,	-1.39129,	-0.849358,	-0.613795,	-1.0912,	-0.866485,	-0.940794,	-0.725789,	-0.557597,	-0.322013,	-0.727264,	-0.125936,	-0.304737,	-0.238132,	-0.136778,	-0.127252,	0.771332,	0.843757,	0.815913,	0.809596,	0.335473,	0.591767,	0.484614,	0.353499,	0.71668,	1.13884,	1.09406,	1.03177,	0.937766,	0.786199,	0.990494,	1.23056,	1.20193,	0.97669,	1.10041,	0.941878,	0.355201,	0.664703,	0.429293,	0.0900908,	0.0567285,	0.0138992,	
0.391695,	0.0524398,	0.215628,	-0.321909,	-0.668065,	-0.242895,	-0.59039,	-0.0144618,	-0.140555,	-0.735155,	-1.17755,	-0.598521,	-0.492644,	-0.40988,	-1.36721,	-1.00734,	-0.89915,	-0.809131,	-0.780535,	-0.844135,	-0.751536,	-1.0791,	-0.836343,	-1.25761,	-1.26315,	-0.279913,	-0.906138,	-0.520366,	-0.0714106,	-0.760693,	-0.66187,	-0.418159,	0.270798,	-0.172109,	-0.18961,	-0.211301,	0.132073,	0.205552,	0.0545029,	0.446758,	0.186446,	0.786831,	0.253738,	0.879153,	1.1507,	0.64282,	0.892885,	1.04219,	0.552488,	0.995724,	
1.14011,	0.707456,	1.30179,	1.4047,	1.23957,	0.849845,	0.564937,	0.967039,	0.384515,	1.02562,	0.603552,	0.493739,	-0.0276645,	-0.206663,	-0.140517,	0.362981,	0.315623,	0.00528908,	-0.0661213,	-0.655466,	-0.399497,	-0.250369,	-0.736995,	-0.225837,	-1.19058,	-1.01814,	-0.877789,	-1.36983,	-0.736681,	-0.928135,	-0.967813,	-0.66971,	-0.633464,	-0.685811,	-1.12988,	-0.958917,	-0.6132,	-1.20122,	-1.13889,	-0.908825,	-0.577363,	-0.0466247,	-0.220955,	-0.527281,	-0.452072,	0.204872,	0.36566,	0.193247,	-0.0912409,	-0.16006,	
0.684905,	0.523279,	0.974199,	0.169392,	0.769199,	0.53902,	1.14347,	0.560391,	0.856919,	0.843649,	1.30316,	1.17006,	0.707462,	0.814646,	0.617077,	1.13163,	0.998464,	0.55528,	0.48236,	0.751636,	1.11676,	0.686856,	0.0873017,	0.0223663,	0.683027,	0.235023,	0.0691438,	0.377128,	-0.148117,	-0.0798176,	0.000846173,	0.0641293,	-0.572123,	-0.340156,	-0.1,	-1.07769,	-0.638924,	-0.87709,	-1.03897,	-1.13293,	-0.677696,	-0.471586,	-1.30091,	-0.71715,	-1.30334,	-0.497631,	-0.668693,	-1.01799,	-0.675202,	-0.858527,	
