0.785947,	1.03867,	1.46484,	1.17101,	1.26003,	0.810843,	0.79596,	0.825556,	0.465798,	0.870628,	0.54419,	0.600406,	0.170103,	-0.0937765,	0.14554,	-0.0668035,	0.258914,	0.151451,	-0.0586899,	-0.689786,	-0.894591,	-0.445005,	-0.787682,	-0.226866,	-0.25649,	-1.01452,	-0.556068,	-0.507961,	-0.844696,	-0.586941,	-0.546261,	-0.949977,	-0.769908,	-0.910721,	-1.44094,	-0.989926,	-0.750456,	-0.826897,	-0.918655,	-0.288798,	-0.324111,	-0.225738,	-0.617727,	-0.307615,	0.0652197,	0.222706,	0.0563117,	-0.305612,	0.24135,	-0.241436,	
-0.279651,	-0.183103,	0.047146,	0.696924,	0.380805,	0.402696,	0.261998,	1.12991,	0.640052,	1.14138,	0.968545,	0.777637,	1.31701,	1.25409,	0.953924,	1.31279,	1.39713,	0.91781,	0.802911,	1.03556,	1.30186,	1.05389,	0.672732,	0.965736,	1.11308,	0.623412,	0.536521,	0.218381,	-0.114708,	-0.100313,	-0.287831,	-0.0170479,	-0.571116,	0.235469,	-0.134129,	-0.869999,	-0.931869,	-0.840002,	-0.674243,	-1.07639,	-1.26243,	-0.603716,	-1.02809,	-0.644364,	-1.02151,	-1.0454,	-1.44672,	-1.45032,	-1.40288,	-0.884048,	
-1.21133,	-0.575855,	-0.515659,	-0.356185,	-0.769632,	-0.969377,	-0.887743,	-0.495293,	-0.182785,	-0.505696,	-0.29687,	-0.0210376,	0.356317,	-0.299494,	0.354132,	0.314415,	0.26579,	0.809226,	0.406281,	0.275323,	0.806841,	0.867938,	0.634876,	1.16483,	1.40767,	1.42642,	0.600279,	0.72356,	0.523125,	1.10511,	0.596706,	0.871723,	1.31707,	0.940539,	0.711903,	0.493317,	0.660143,	1.10244,	0.190853,	0.452512,	0.748754,	-0.158559,	0.39289,	0.581455,	-0.214083,	-0.463416,	-0.0107924,	0.116466,	-0.276108,	-0.077116,	
-0.86902,	-0.387764,	-0.869247,	-0.863052,	-1.18432,	-0.571002,	-0.806152,	-0.724286,	-0.679884,	-1.43008,	-0.548857,	-0.994426,	-0.7193,	-0.704748,	-0.579267,	-1.20804,	-0.852744,	-0.629367,	-0.245231,	-0.265504,	-0.122346,	-0.347255,	-0.254736,	0.113105,	-0.608877,	0.341192,	-0.0365401,	-0.308489,	0.499127,	0.00312972,	0.0840514,	0.633546,	0.364241,	0.509995,	0.656859,	0.723125,	0.756465,	1.0249,	0.617675,	0.66506,	0.588019,	0.823073,	1.26599,	0.717061,	1.20004,	1.11963,	1.20877,	1.16171,	0.567811,	0.516785,	
0.656349,	0.378194,	0.798789,	0.686627,	0.338957,	-0.052269,	0.266296,	-0.280512,	-0.157492,	-0.327965,	-0.270421,	0.0892778,	-0.236588,	-0.0958217,	-0.920204,	-0.698594,	-1.24062,	-0.592164,	-0.795563,	-0.57991,	-0.478973,	-0.558274,	-1.08888,	-1.49872,	-0.948862,	-1.2628,	-1.22234,	-1.07751,	-1.26002,	-0.552546,	-0.487684,	-0.621651,	-0.748932,	-0.170978,	-0.361959,	0.135935,	0.167361,	-0.270579,	0.018978,	-0.0808093,	0.29452,	0.565835,	0.609888,	0.0807147,	0.86419,	0.148151,	0.612409,	0.997393,	1.10771,	0.745719,	
1.16662,	1.34813,	0.723021,	0.624777,	0.725066,	0.844839,	0.766797,	1.3823,	0.471682,	0.969396,	0.48723,	1.1021,	0.362992,	0.622418,	1.03814,	0.307419,	-0.0922207,	-0.0205526,	0.0660555,	-0.0973666,	-0.301372,	0.305514,	-0.0457428,	0.137144,	-0.479788,	-0.066042,	-1.0841,	-0.557293,	-0.437517,	-1.06922,	-0.425334,	-0.641567,	-0.616366,	-0.897918,	-0.69766,	-1.17017,	-1.27473,	-1.17481,	-0.881819,	-0.605918,	-1.10551,	-0.944603,	-0.427822,	-0.60997,	-0.16111,	-0.869671,	-0.161503,	-0.22331,	-0.556693,	-0.233273,	
-0.211312,	0.0888258,	0.389791,	-0.206674,	0.606807,	0.720708,	0.324591,	0.485921,	0.708304,	0.910747,	1.01916,	1.09357,	0.775472,	0.857444,	1.41701,	1.05656,	1.34641,	0.776173,	1.1153,	1.06457,	1.41315,	0.499565,	0.869017,	0.836286,	0.3429,	1.08792,	0.991329,	0.463556,	0.718673,	-0.00656639,	0.369356,	-0.087758,	-0.00216218,	0.296223,	-0.451052,	-0.441415,	-0.357531,	-0.595167,	-0.22232,	-0.115942,	-1.02098,	-1.01294,	-0.609894,	-0.990852,	-0.438156,	-0.475981,	-0.83154,	-0.632346,	-1.09785,	-0.865106,	
-0.49914,	-0.902403,	-0.496182,	-0.668034,	-0.854065,	-0.640426,	-0.325384,	-0.940725,	-0.664147,	0.0182017,	-0.481347,	-0.130733,	0.208761,	0.401721,	0.159365,	-0.285561,	-0.259142,	0.419531,	0.462268,	0.946824,	0.815856,	0.811465,	0.744977,	0.547061,	1.3068,	0.934207,	0.464539,	1.16151,	1.0062,	0.556945,	1.38941,	0.821049,	0.702121,	0.558225,	0.717622,	0.588494,	0.956828,	0.307719,	0.446308,	0.375312,	0.890243,	0.366095,	0.585052,	0.336519,	0.418243,	-0.350686,	0.413999,	0.18473,	-0.710886,	-0.390383,	
-0.62242,	-0.404881,	-0.886453,	-0.61237,	-0.657686,	-0.721947,	-0.926172,	-1.38321,	-0.939675,	-1.07109,	-1.38632,	-1.04011,	-1.04472,	-0.930137,	-0.651742,	-0.722603,	-0.508296,	-1.27662,	-1.04913,	-0.74149,	-0.167911,	-0.255453,	-0.507227,	-0.534689,	-0.71436,	0.0648445,	-0.0701127,	-0.27706,	0.0499002,	-0.110137,	0.569123,	0.278864,	0.941314,	0.10066,	0.990706,	0.859792,	0.836172,	1.00419,	1.12804,	0.53462,	1.34703,	0.503463,	0.793161,	0.678552,	1.41473,	0.536541,	1.0197,	1.03663,	1.00263,	1.15936,	
0.286126,	0.975169,	0.608798,	0.689994,	0.118865,	0.356494,	0.41936,	0.574733,	-0.036883,	-0.495936,	-0.62309,	-0.148273,	-0.0760635,	-0.271851,	-0.703907,	-0.183083,	-0.684101,	-0.317832,	-1.25769,	-1.1756,	-0.65012,	-0.544235,	-0.699572,	-1.20047,	-1.3481,	-0.645976,	-0.693045,	-1.18131,	-1.18906,	-1.05141,	-0.489726,	-0.43577,	-0.618361,	-0.54142,	-0.745311,	-0.244966,	-0.0561741,	-0.315654,	-0.213269,	-0.0944699,	-0.18114,	0.314751,	0.641203,	0.741854,	0.672984,	0.274503,	0.786698,	0.305994,	0.368031,	0.498362,	
0.508051,	0.993607,	0.519091,	1.29577,	1.21434,	1.42538,	0.990257,	1.14063,	1.35415,	0.971201,	0.67421,	1.31838,	0.320846,	0.544827,	1.11858,	0.431128,	0.29012,	0.0119523,	0.712968,	-0.164127,	-0.0662964,	0.399241,	-0.098432,	-0.0816546,	-0.210704,	-0.189542,	-0.948547,	-0.535305,	-1.1108,	-0.388986,	-0.942245,	-0.493807,	-1.14434,	-0.849908,	-0.525409,	-1.43736,	-1.44339,	-1.47901,	-0.810412,	-0.875618,	-1.33284,	-0.613784,	-0.746247,	-1.23932,	-1.1776,	-1.04075,	-0.310991,	-0.924611,	-0.691103,	-0.592999,	
-0.636137,	0.215489,	0.154859,	0.290358,	0.306537,	0.270109,	0.175521,	0.602717,	0.145907,	0.258281,	0.206251,	1.21994,	1.28764,	0.494571,	0.882869,	1.10775,	0.767343,	1.24803,	1.05802,	0.92411,	0.749974,	1.21316,	1.32486,	1.11272,	0.740073,	1.2122,	0.462215,	0.665795,	1.00691,	0.233909,	0.125594,	0.708779,	-0.247524,	-0.115755,	0.0765307,	-0.411501,	-0.0775164,	-0.011497,	-0.401538,	-0.341769,	-0.281047,	-0.922284,	-0.626923,	-1.18013,	-0.833743,	-0.560094,	-0.516598,	-0.969248,	-1.21029,	-0.845927,	
-0.581722,	-0.979774,	-0.496126,	-1.24405,	-1.29175,	-1.05816,	-0.903128,	-0.814836,	-0.852811,	-0.392502,	-0.910672,	-0.511634,	-0.525586,	-0.41811,	-0.520641,	0.0672915,	-0.143878,	-0.172186,	-0.229276,	0.148435,	0.50678,	0.913445,	0.165948,	1.10334,	0.39753,	1.16057,	1.17933,	1.33998,	0.593424,	0.985325,	0.900225,	0.673569,	1.06992,	1.08575,	0.668991,	0.939952,	1.36549,	0.813743,	0.957996,	0.606215,	0.154297,	0.33089,	0.752662,	0.206375,	-0.151754,	0.178447,	-0.0650874,	0.207617,	-0.106746,	0.0747248,	
-0.00889863,	-0.729097,	-0.883451,	-0.269657,	-0.530363,	-1.22307,	-0.406781,	-0.842884,	-0.860686,	-0.836669,	-0.711156,	-0.635018,	-1.11637,	-1.41349,	-0.753183,	-1.13412,	-0.595769,	-1.02385,	-0.51847,	-1.11282,	-1.09458,	-0.271741,	-1.02856,	-0.301217,	-0.164584,	-0.367624,	-0.328352,	0.370153,	-0.110731,	0.0303398,	-0.154063,	0.11225,	0.194505,	0.86537,	0.303614,	0.447429,	0.619416,	0.985256,	0.479815,	1.25808,	0.511627,	0.922649,	0.514139,	1.24996,	1.19985,	0.707383,	1.15592,	1.00669,	1.26398,	0.926643,	
1.21595,	0.671667,	0.54073,	0.595222,	0.279772,	0.86532,	0.310892,	0.00268781,	0.0819588,	0.253825,	-0.146334,	-0.466296,	0.110124,	-0.257459,	-0.5602,	-0.799869,	-0.885143,	-0.658442,	-0.816988,	-0.571345,	-1.29632,	-0.564892,	-0.768688,	-1.33878,	-0.634151,	-1.29992,	-0.889628,	-0.941175,	-1.29931,	-1.42379,	-0.616484,	-0.572831,	-0.857831,	-1.15559,	-0.553032,	-0.884621,	-0.244581,	-0.348587,	-0.535675,	0.225341,	0.165418,	0.394121,	-0.324316,	-0.110859,	0.539359,	0.592654,	0.762629,	0.572383,	0.575121,	0.833515,	
